Date,Much Above Normal,Much Below Normal
1950,9.7,21.3
1951,1.6,28.7
1952,2.3,1.5
1953,28.8,0
1954,39.1,1.6
1955,0.2,12
1956,13.4,0.5
1957,0,8.6
1958,6.6,34.9
1959,3.4,2.5
1960,0,18.8
1961,0.2,8
1962,0.1,3.5
1963,4.2,3.9
1964,0,11.9
1965,0,10.4
1966,0.6,15.7
1967,1.8,3
1968,0,20.1
1969,0,17.1
1970,0,1.5
1971,0,7.8
1972,0,21.5
1973,0,7.9
1974,0.5,0.2
1975,0.8,17.5
1976,2.8,13.4
1977,1,0
1978,0,28.6
1979,0,41.7
1980,0.4,2.6
1981,16.3,1.1
1982,0,25.7
1983,0,28.6
1984,0.1,11.3
1985,0,15.5
1986,2.5,0
1987,27.6,2.5
1988,16.6,0.5
1989,5.7,11.6
1990,25.1,0
1991,8.1,0.5
1992,11.3,7.9
1993,0,33.9
1994,5.8,0
1995,0.7,0.1
1996,9,24.3
1997,1,8.8
1998,32.5,4.6
1999,43.3,0
2000,12.5,0
2001,19.1,0
2002,9.4,0.1
2003,22.9,0.6
2004,2.2,0.5
2005,8.2,0
2006,48.5,0
2007,33.5,1
2008,2.5,1.8
2009,2.7,2.2
2010,7.7,0.9
2011,21.4,0.9
2012,87.2,0
2013,4.4,7.1
2014,21.8,18.5
2015,37.4,0
2016,69.5,0
2017,45.7,0
2018,22.7,0.3
2019,10.5,9.5
2020,48.7,0
